"","player_name","season","recent_team","week","carries","receptions","touches","yards","tds","completions","passing_yards","passing_tds","interceptions","passing_2pt_conversions","special_teams_tds","two_point_conversions","fumbles"
"69","A.Thielen",2021,"MIN",1,0,9,9,92,2,0,0,0,0,0,0,0,0
"70","A.Thielen",2022,"MIN",1,0,3,3,36,0,0,0,0,0,0,0,0,0
"71","A.Trautman",2021,"NO",1,0,3,3,18,0,0,0,0,0,0,0,0,0
"72","A.Williams",2022,"ATL",1,2,1,3,15,0,0,0,0,0,0,0,0,0
"73","A.Wilson",2021,"MIA",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","B.Aiyuk",2022,"SF",1,1,2,3,47,0,0,0,0,0,0,0,0,0
"75","B.Bell",2021,"KC",1,1,1,2,5,0,0,0,0,0,0,0,0,0
"76","B.Berrios",2021,"NYJ",1,0,5,5,51,0,0,0,0,0,0,0,0,0
"77","B.Berrios",2022,"NYJ",1,0,5,5,37,0,0,0,0,0,0,0,0,0
"78","B.Bolden",2022,"LV",1,3,2,5,28,1,0,0,0,0,0,0,0,0
"79","B.Bolden",2021,"NE",1,1,0,1,5,0,0,0,0,0,0,0,0,0
"80","B.Cooks",2021,"HOU",1,0,5,5,132,0,0,0,0,0,0,0,0,0
"81","B.Cooks",2022,"HOU",1,0,7,7,82,0,0,0,0,0,0,0,0,0
"82","B.Cooks",2020,"HOU",1,0,2,2,20,0,0,0,0,0,0,0,0,0
"83","B.Edwards",2021,"LV",1,0,4,4,81,0,0,0,0,0,0,0,0,0
"84","B.Edwards",2020,"LV",1,0,1,1,9,0,0,0,0,0,0,0,0,0
"85","B.Edwards",2022,"ATL",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","B.Ellefson",2022,"MIN",1,0,1,1,2,0,0,0,0,0,0,0,0,0
"87","B.Hall",2022,"NYJ",1,6,6,12,61,0,0,0,0,0,0,0,0,1
"88","B.Hill",2020,"ATL",1,3,2,5,20,0,0,0,0,0,0,0,0,0
"89","B.Jarwin",2021,"DAL",1,0,3,3,20,0,0,0,0,0,0,0,0,0
"90","B.Jarwin",2020,"DAL",1,0,1,1,12,0,0,0,0,0,0,0,0,0
"91","B.Jordan",2022,"HOU",1,0,1,1,5,0,0,0,0,0,0,0,0,0
"92","B.Mayfield",2021,"CLE",1,1,0,1,7,0,21,321,0,1,0,0,0,0
"93","B.Mayfield",2022,"CAR",1,5,0,5,6,1,16,235,1,1,0,0,0,0
"94","B.Mayfield",2020,"CLE",1,2,0,2,3,0,21,189,1,1,0,0,0,0
"95","B.Miller",2020,"JAX",1,0,1,1,2,0,0,0,0,0,0,0,0,0
"96","B.Perriman",2020,"NYJ",1,0,3,3,17,0,0,0,0,0,0,0,0,0
"97","B.Perriman",2022,"TB",1,1,0,1,-7,0,0,0,0,0,0,0,0,0
"98","B.Powell",2022,"LA",1,1,1,2,13,0,0,0,0,0,0,0,0,0
"99","B.Pringle",2022,"CHI",1,0,1,1,22,0,0,0,0,0,0,0,0,0
"100","B.Pringle",2021,"KC",1,0,1,1,6,0,0,0,0,0,0,0,0,0
"101","B.Roethlisberger",2020,"PIT",1,3,0,3,9,0,21,229,3,0,0,0,0,0
"102","B.Roethlisberger",2021,"PIT",1,4,0,4,5,0,18,188,1,0,0,0,0,0
"103","B.Scott",2020,"PHI",1,9,2,11,54,0,0,0,0,0,0,0,0,0
"104","B.Scott",2022,"PHI",1,4,0,4,10,1,0,0,0,0,0,0,0,0
"105","B.Skowronek",2022,"LA",1,0,4,4,25,0,0,0,0,0,0,0,0,0
"106","B.Snell",2020,"PIT",1,19,0,19,113,0,0,0,0,0,0,0,0,0
"107","C.Akers",2020,"LA",1,14,1,15,43,0,0,0,0,0,0,0,0,0
"108","C.Akers",2022,"LA",1,3,0,3,0,0,0,0,0,0,0,0,0,0
"109","C.Beasley",2021,"BUF",1,0,8,8,60,0,0,0,0,0,0,0,0,0
"110","C.Beasley",2020,"BUF",1,0,4,4,58,0,0,0,0,0,0,0,0,0
"111","C.Board",2020,"NYG",1,0,2,2,17,0,0,0,0,0,0,0,0,0
"112","C.Board",2021,"NYG",1,0,1,1,6,0,0,0,0,0,0,0,0,0
"113","C.Brate",2022,"TB",1,0,1,1,7,0,0,0,0,0,0,0,0,0
"114","C.Brate",2020,"TB",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"115","C.Carson",2021,"SEA",1,16,3,19,117,0,0,0,0,0,0,0,0,1
"116","C.Carson",2020,"SEA",1,6,6,12,66,2,0,0,0,0,0,0,0,0
"117","C.Claypool",2021,"PIT",1,1,3,4,70,0,0,0,0,0,0,0,0,0
"118","C.Claypool",2022,"PIT",1,6,4,10,54,0,0,0,0,0,0,0,0,0
"119","C.Claypool",2020,"PIT",1,1,2,3,47,0,0,0,0,0,0,0,0,0
"120","C.Clement",2020,"PHI",1,6,2,8,21,0,0,0,0,0,0,0,0,0
"121","C.Conley",2021,"HOU",1,0,2,2,27,0,0,0,0,0,0,0,0,0
"122","C.Conley",2020,"JAX",1,0,1,1,6,0,0,0,0,0,0,0,0,0
"123","C.Conley",2022,"HOU",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","C.Davis",2020,"TEN",1,0,7,7,101,0,0,0,0,0,0,0,0,0
"125","C.Davis",2021,"NYJ",1,0,5,5,97,2,0,0,0,0,0,0,0,0
"126","C.Davis",2022,"NYJ",1,0,6,6,77,0,0,0,0,0,0,0,0,0
"127","C.Edmonds",2021,"ARI",1,12,4,16,106,0,0,0,0,0,0,0,0,0
"128","C.Edmonds",2022,"MIA",1,12,4,16,65,0,0,0,0,0,0,0,0,0
"129","C.Edmonds",2020,"ARI",1,6,3,9,45,1,0,0,0,0,0,0,0,0
"130","C.Edwards-Helaire",2020,"KC",1,25,0,25,138,1,0,0,0,0,0,0,0,0
"131","C.Edwards-Helaire",2022,"KC",1,7,3,10,74,2,0,0,0,0,0,0,0,0
"132","C.Edwards-Helaire",2021,"KC",1,14,3,17,72,0,0,0,0,0,0,0,0,0
"133","C.Godwin",2021,"TB",1,0,9,9,105,1,0,0,0,0,0,0,0,1
"134","C.Godwin",2020,"TB",1,0,6,6,79,0,0,0,0,0,0,0,0,0
